T,Y,X3,P3,TX3,X2,P2,TX2,X1,P1,TX1
1,47,0,0,0,0,0,0,0,0,0
2,47,0,0,0,0,0,0,0,0,0
3,49,0,0,0,0,0,0,0,0,0
4,52,0,0,0,0,0,0,0,0,0
5,52,0,0,0,0,0,0,0,0,0
6,52,0,0,0,0,0,0,0,0,0
7,52,0,0,0,0,0,0,0,0,0
8,48,0,0,0,0,0,0,0,0,0
9,48,0,0,0,0,0,0,0,0,0
10,51,0,0,0,0,0,0,0,0,0
11,55,0,0,0,0,0,0,0,0,0
12,59,0,0,0,0,0,0,0,0,0
13,64,0,0,0,0,0,0,0,0,0
14,64,0,0,0,0,0,0,0,0,0
15,66,0,0,0,0,0,0,0,0,0
16,68,0,0,0,0,0,0,0,0,0
17,68,0,0,0,0,0,0,0,0,0
18,68,0,0,0,0,0,0,0,0,0
19,66,0,0,0,0,0,0,0,0,0
20,62,0,0,0,0,0,0,0,0,0
21,62,0,0,0,0,0,0,0,0,0
22,62,0,0,0,0,0,0,0,0,0
23,62,0,0,0,0,0,0,0,0,0
24,62,0,0,0,0,0,0,0,0,0
25,64,0,0,0,0,0,0,0,0,0
26,63,0,0,0,0,0,0,0,0,0
27,63,0,0,0,0,0,0,0,0,0
28,63,0,0,0,0,0,0,0,0,0
29,63,0,0,0,0,0,0,0,0,0
30,63,0,0,0,0,0,0,0,0,0
31,65,0,0,0,0,0,0,0,0,0
32,68,0,0,0,0,0,0,0,0,0
33,70,0,0,0,0,0,0,0,0,0
34,68,0,0,0,0,0,0,0,0,0
35,68,0,0,0,0,0,0,0,0,0
36,68,0,0,0,0,0,0,0,0,0
37,67,0,0,0,0,0,0,0,0,0
38,66,0,0,0,0,0,0,0,0,0
39,67,0,0,0,0,0,0,0,0,0
40,66,0,0,0,0,0,0,0,0,0
41,66,0,0,0,0,0,0,0,0,0
42,66,0,0,0,0,0,0,0,0,0
43,66,0,0,0,0,0,0,0,0,0
44,66,0,0,0,0,0,0,0,0,0
45,66,0,0,0,0,0,0,0,0,0
46,66,0,0,0,0,0,0,0,0,0
47,66,0,0,0,0,0,0,0,0,0
48,66,0,0,0,0,0,0,0,0,0
49,68,0,0,0,0,0,0,0,0,0
50,68,0,0,0,0,0,0,0,0,0
51,72,0,0,0,0,0,0,0,0,0
52,74,0,0,0,0,0,0,0,0,0
53,76,0,0,0,0,0,0,0,0,0
54,76,0,0,0,0,0,0,0,0,0
55,76,0,0,0,0,0,0,0,0,0
56,76,0,0,0,0,0,0,0,0,0
57,74,0,0,0,0,0,0,0,0,0
58,74,0,0,0,0,0,0,0,0,0
59,74,0,0,0,0,0,0,0,0,0
60,74,0,0,0,0,0,0,0,0,0
61,74,0,0,0,0,0,0,0,0,0
62,74,0,0,0,0,0,0,0,0,0
63,75,0,0,0,0,0,0,0,0,0
64,75,0,0,0,0,0,0,0,0,0
65,75,0,0,0,0,0,0,0,0,0
66,75,0,0,0,0,0,0,0,0,0
67,75,0,0,0,0,0,0,0,0,0
68,75,0,0,0,0,0,0,0,0,0
69,75,0,0,0,0,0,0,0,0,0
70,75,0,0,0,0,0,0,0,0,0
71,75,0,0,0,0,0,0,0,0,0
