T,Y,X3,TX3,P3,X2,TX2,P2,X1,TX1,P1,
209,91,1,209,4,1,209,12,1,209,108,
210,91,1,210,5,1,210,13,1,210,109,
211,96,1,211,6,1,211,14,1,211,110,
212,96,1,212,7,1,212,15,1,212,111,
213,96,1,213,8,1,213,16,1,213,112,
214,96,1,214,9,1,214,17,1,214,113,
215,100,1,215,10,1,215,18,1,215,114,
216,100,1,216,11,1,216,19,1,216,115,
217,100,1,217,12,1,217,20,1,217,116,
218,100,1,218,13,1,218,21,1,218,117,
219,100,1,219,14,1,219,22,1,219,118,
220,100,1,220,15,1,220,23,1,220,119,
221,100,1,221,16,1,221,24,1,221,120,
222,100,1,222,17,1,222,25,1,222,121,
223,100,1,223,18,1,223,26,1,223,122,
224,100,1,224,19,1,224,27,1,224,123,
225,100,1,225,20,1,225,28,1,225,124,
226,100,1,226,21,1,226,29,1,226,125,
227,100,1,227,22,1,227,30,1,227,126,
228,100,1,228,23,1,228,31,1,228,127,
229,100,1,229,24,1,229,32,1,229,128,
230,100,1,230,25,1,230,33,1,230,129,
231,100,1,231,26,1,231,34,1,231,130,

